City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Nar'Yan-Mar,67.6713,53.087,-8.9,91,100,11.01,RU,2023-12-11 02:49:48
216,Quang Ngai,15.1167,108.8,80.51,73,93,4.92,VN,2023-12-11 02:51:33
217,Ghardaia,32.4909,3.6735,51.15,50,0,4.61,DZ,2023-12-11 02:51:33
218,Tadine,-21.55,167.8833,77.0,59,93,17.11,NC,2023-12-11 02:51:33
219,Wynyard,-41.0,145.7167,70.83,38,100,7.49,AU,2023-12-11 02:46:55
220,Fu'An,27.0892,119.6453,80.53,58,0,1.05,CN,2023-12-11 02:51:33
221,Colonia,50.9333,6.95,53.06,76,20,12.66,DE,2023-12-11 02:48:07
222,Beberibe,-4.1797,-38.1306,79.07,76,28,11.77,BR,2023-12-11 02:51:33
223,Bridgewater,44.3835,-64.5155,50.68,99,100,8.05,CA,2023-12-11 02:51:33
224,Kruisfontein,-34.0033,24.7314,55.89,92,0,3.24,ZA,2023-12-11 02:49:44
225,Akureyri,65.6835,-18.0878,12.13,92,0,3.44,IS,2023-12-11 02:51:34
226,Hovd,48.0056,91.6419,1.72,80,69,1.97,MN,2023-12-11 02:51:34
227,Nenjiang,49.1833,125.2167,-4.74,72,1,4.16,CN,2023-12-11 02:51:34
228,Iskateley,67.6803,53.1512,-8.99,91,100,11.01,RU,2023-12-11 02:49:39
229,Cole Harbour,44.6724,-63.4751,46.71,97,100,3.0,CA,2023-12-11 02:48:55
230,Chonchi,-42.6128,-73.8092,52.81,96,97,2.64,CL,2023-12-11 02:49:55
231,Bengkulu,-3.8004,102.2655,81.72,71,95,4.23,ID,2023-12-11 02:49:20
232,Karaidel',55.8337,56.9069,-22.02,98,18,5.19,RU,2023-12-11 02:51:34
233,Grand Baie,-20.0182,57.5802,77.47,85,100,14.47,MU,2023-12-11 02:51:34
234,Enoch,37.7733,-113.0244,39.47,35,0,4.61,US,2023-12-11 02:51:34
235,San Antonio De Pale,-1.4014,5.6325,81.27,78,98,14.03,GQ,2023-12-11 02:49:43
236,Ulladulla,-35.35,150.4667,84.78,74,100,9.13,AU,2023-12-11 02:51:34
237,Aldan,58.6031,125.3894,-22.2,94,100,5.68,RU,2023-12-11 02:51:35
238,Sitka,57.0531,-135.33,37.29,75,75,8.05,US,2023-12-11 02:49:35
239,San Julian,21.0167,-102.1667,59.58,56,100,6.76,MX,2023-12-11 02:51:35
240,Ust-Nera,64.5667,143.2,-5.91,99,100,9.04,RU,2023-12-11 02:49:29
241,Castillos,-34.1667,-53.8333,59.68,97,7,3.8,UY,2023-12-11 02:51:35
242,Estacion Santa Engracia,24.0159,-99.2015,54.43,39,47,1.9,MX,2023-12-11 02:51:35
243,Nagqu,31.5,92.0,15.03,20,1,7.85,CN,2023-12-11 02:50:17
244,Punta Arenas,-53.15,-70.9167,42.91,70,0,2.3,CL,2023-12-11 02:47:23
245,Nova Vicosa,-17.8919,-39.3719,75.72,84,3,3.44,BR,2023-12-11 02:51:35
246,Yaren,-0.5472,166.916,84.09,70,41,1.9,NR,2023-12-11 02:51:35
247,Gonabad,34.3529,58.6837,47.55,43,9,2.8,IR,2023-12-11 02:51:36
248,Callao,-12.0667,-77.15,70.72,77,75,12.66,PE,2023-12-11 02:49:53
249,Itanhaem,-24.1831,-46.7889,70.97,94,100,3.76,BR,2023-12-11 02:51:36
250,Tatsinskiy,48.1968,41.2756,26.65,85,100,17.69,RU,2023-12-11 02:51:36
251,Thinadhoo,0.5333,72.9333,82.31,76,96,6.26,MV,2023-12-11 02:50:21
252,Coracora,-15.0333,-73.7833,54.5,69,100,6.73,PE,2023-12-11 02:51:36
253,Vadso,70.0744,29.7487,14.16,85,75,23.02,NO,2023-12-11 02:49:36
254,Ad Dilam,23.9915,47.1627,57.61,22,83,4.63,SA,2023-12-11 02:51:36
255,Buenavista Del Norte,28.3746,-16.861,77.04,59,100,3.4,ES,2023-12-11 02:51:36
256,Panino,51.6467,40.1346,20.14,95,100,13.82,RU,2023-12-11 02:51:36
257,Wuhai,39.6647,106.8122,29.48,32,100,1.81,CN,2023-12-11 02:51:36
258,El Alto,-4.2714,-81.2147,67.66,82,5,14.25,PE,2023-12-11 02:51:36
259,Plastun,44.7561,136.2939,10.27,38,6,7.05,RU,2023-12-11 02:51:36
260,Pierre,44.3683,-100.351,29.86,81,0,5.99,US,2023-12-11 02:48:55
261,Ebon,4.582,168.6964,83.1,78,19,10.47,MH,2023-12-11 02:51:37
262,Les Cayes,18.2,-73.75,78.49,85,87,8.03,HT,2023-12-11 02:51:37
263,Tongchuanshi,35.0806,109.0897,34.99,100,100,2.13,CN,2023-12-11 02:51:37
264,Ubauro,28.1652,69.7289,64.45,20,0,4.83,PK,2023-12-11 02:51:37
265,Sumberpucung,-8.1586,112.4829,83.43,63,94,5.46,ID,2023-12-11 02:51:37
266,Banda Aceh,5.5577,95.3222,82.6,75,48,0.49,ID,2023-12-11 02:49:42
267,Dunedin,-45.8742,170.5036,61.52,59,35,7.87,NZ,2023-12-11 02:47:52
268,Vidyayevo,69.3191,32.8049,4.3,93,78,14.36,RU,2023-12-11 02:51:37
269,Tunceli,39.1083,39.5471,44.8,85,100,2.98,TR,2023-12-11 02:51:37
270,North Bend,43.4065,-124.2243,56.16,100,100,5.75,US,2023-12-11 02:46:43
271,Sur,22.5667,59.5289,72.0,51,26,2.68,OM,2023-12-11 02:49:49
272,Zhanaozen,43.3,52.8,27.07,92,99,13.91,KZ,2023-12-11 02:51:37
273,Haiku-Pauwela,20.9219,-156.3051,86.02,69,40,8.99,US,2023-12-11 02:50:12
274,Krasnoarmeyskoye,52.7182,50.0322,-2.33,91,14,8.08,RU,2023-12-11 02:51:38
275,New Shagunnu,10.3396,4.4688,73.49,27,49,6.91,NG,2023-12-11 02:51:38
276,Malango,-2.9627,119.9001,84.33,57,100,2.3,ID,2023-12-11 02:51:38
277,Kiama,-34.6833,150.8667,85.37,72,94,9.46,AU,2023-12-11 02:51:38
278,Saint-Philippe,-21.3585,55.7679,76.59,84,52,11.12,RE,2023-12-11 02:51:38
279,Porto Novo,6.4965,2.6036,82.22,85,0,2.66,BJ,2023-12-11 02:51:38
280,Lianhe,47.1333,129.2667,3.22,64,4,4.21,CN,2023-12-11 02:51:38
281,Remire-Montjoly,4.9167,-52.2667,78.84,94,99,2.3,GF,2023-12-11 02:51:38
282,Newman,37.3138,-121.0208,52.29,50,100,1.99,US,2023-12-11 02:49:57
283,Ponta Delgada,37.7333,-25.6667,65.19,82,40,12.66,PT,2023-12-11 02:47:20
284,Koundara,12.4833,-13.3,72.01,20,100,1.5,GN,2023-12-11 02:51:39
285,Kone,-21.0595,164.8658,87.19,41,96,6.76,NC,2023-12-11 02:51:39
286,Quthing,-30.4,27.7003,57.99,83,100,3.33,LS,2023-12-11 02:51:39
287,Umarkot,25.3616,69.7362,66.74,36,0,4.52,PK,2023-12-11 02:51:39
288,Happy Valley-Goose Bay,53.3168,-60.3315,37.71,75,100,4.61,CA,2023-12-11 02:50:23
289,Lata,40.1629,-8.3327,59.07,92,71,4.25,PT,2023-12-11 02:50:16
